Mãvậttư,Tên Vật Tư,Model,Đơn vị KD,Ngành hàng,Nhóm hàng,Tồn đầu (inventory)
KGE05000800,Bình nước nóng trực tiếp KG234-CEPG-màu xanh,KG234-CEPG,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,152
KGE05000900,Bình nước nóng trực tiếp KG230-EE,KG230-EE,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,153
KGE05001000,Bình nước nóng trực tiếp KG231-EEP,KG231-EEP,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,154
KGE05001000,Bình nước nóng trực tiếp KG231-EEP,KG231-EEP,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,155
KGE05001200,Bình nước nóng (32L) KG60N,KG60N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,156
KGE05001300,Bình nước nóng (22L) KG64N,KG64N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,157
KGE05001300,Bình nước nóng (22L) KG64N,KG64N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,158
KGE05001400,Bình nước nóng (18L)  KG65,KG65,0,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,159
KGE05001400,Bình nước nóng (18L)  KG65,KG65,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,160
KGE05001400,Bình nước nóng (18L)  KG65,KG65,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,161
KGE05001400,Bình nước nóng (18L)  KG65,KG65,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,162
KGE05001500,Bình nước nóng (25L)  KG66,KG66,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,163
KGE05001500,Bình nước nóng (25L)  KG66,KG66,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,164
KGE05001600,Bình nước nóng treo tường kháng khuẩn Kangaroo.(32L-SX) KG60,KG60,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,165
KGE05001600,Bình nước nóng treo tường kháng khuẩn Kangaroo.(32L-SX) KG60,KG60,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,166
KGE05001700,Bình nước nóng treo tường kháng khuẩn Kangaroo.(22L_SX) KG64,KG64,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,167
KGE05001700,Bình nước nóng treo tường kháng khuẩn Kangaroo.(22L_SX) KG64,KG64,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,168
KGE05001800,"Bình nước nóng trực tiếp (không bơm, màu trắng) KG-235W",KG-235W,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,169
KGE05001800,"Bình nước nóng trực tiếp (không bơm, màu trắng) KG-235W",KG-235W,HCM,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,170
KGE05001800,"Bình nước nóng trực tiếp (không bơm, màu trắng) KG-235W",KG-235W,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,171
KGE05001800,"Bình nước nóng trực tiếp (không bơm, màu trắng) KG-235W",KG-235W,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,172
KGE05001900,"Bình nước nóng trực tiếp (Không bơm, màu vàng) KG-235Y",KG-235Y,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,173
KGE05001900,"Bình nước nóng trực tiếp (Không bơm, màu vàng) KG-235Y",KG-235Y,HCM,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,174
KGE05001900,"Bình nước nóng trực tiếp (Không bơm, màu vàng) KG-235Y",KG-235Y,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,175
KGE05002000,"Bình nước nóng trực tiếp (Không bơm, màu xanh) KG-235G",KG-235G,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,176
KGE05002000,"Bình nước nóng trực tiếp (Không bơm, màu xanh) KG-235G",KG-235G,HCM,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,177
KGE05002000,"Bình nước nóng trực tiếp (Không bơm, màu xanh) KG-235G",KG-235G,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,178
KGE05002100,"Bình nước nóng trực tiếp (Có bơm, màu trắng) KG-236PW",KG-236PW,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,179
KGE05002100,"Bình nước nóng trực tiếp (Có bơm, màu trắng) KG-236PW",KG-236PW,HCM,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,180
KGE05002100,"Bình nước nóng trực tiếp (Có bơm, màu trắng) KG-236PW",KG-236PW,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,181
KGE05002200,"Bình nước nóng trực tiếp (Có bơm, màu vàng) KG-236PY",KG-236PY,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,182
KGE05002200,"Bình nước nóng trực tiếp (Có bơm, màu vàng) KG-236PY",KG-236PY,HCM,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,183
KGE05002300,"Bình nước nóng trực tiếp (Có bơm, màu xanh) KG-236PG",KG-236PG,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,184
